Título;Año publicación;Tema;Tags;Sinopsis;Ilustrador;Género ilustrador;Descripción ilustrador;Escritor;Género escritor;Descripción escritor;Editorial;Tipo de editorial;Descripción editorial;Ciudad;Editor;Género editor;Descripción editor
Camila;2006;Identidad;Gatos, Preguntas, Miedos, Soledad, Niña, Crecimiento, Familia, Transformaciones, Cambios, Madre, Tareas;¿Qué puede ocurrir en una casa únicamente habitada por gatos? ¿Cuál es la fascinación que aquel gato negro le produce? Estas preguntas se las hace Camila mientras que el lector asiste a una transformación en la cual la niña y el gato transmutan de tal manera que terminan siendo uno mismo.\nUn libro que, por otro lado, muestra radicalmente la unión y reunión del trabajo manual (la fabricación de muñecos de trapo) y el digital, creando un ambiente que sirve de telón de fondo para la historia. \nReseña tomada de Babel Libros;María Paula Bolaños;Mujer;María Paula Bolaños, que comenzó su profesión escribiendo e ilustrando sus propias historias. Nació en Bogotá, en 1982. Es Maestra en artes visuales de la Pontificia Universidad Javeriana.\nAlgunos de sus libros son Rana (2006), Camila (2006), Buenas noches (2007) y Un mundo a tu medida (2007).;María Paula Bolaños;Mujer;María Paula Bolaños, que comenzó su profesión escribiendo e ilustrando sus propias historias. Nació en Bogotá, en 1982. Es Maestra en artes visuales de la Pontificia Universidad Javeriana.\nAlgunos de sus libros son Rana (2006), Camila (2006), Buenas noches (2007) y Un mundo a tu medida (2007).;Babel libros;Independiente;Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/;Bogotá;María Osorio Caminata;Mujer;En 2001, María Osorio, arquitecta de la Universidad de los Andes (Bogotá), fundó Babel Libros, editorial especializada en literatura infantil y juvenil, librería y distribuidora. Osorio fue directora de publicaciones de la Asociación Colombiana para el Libro Infantil y Juvenil (ACLIJ) desde 1986 y subdirectora de Fundalectura entre 1990 y el año 2000. \nReseña tomada de la página del Cerlalc: https://cerlalc.org/author/mosorio/\nOtro enlace: babellibros.com.co/
Rana;2006;Mascotas;Rana, Niña, Madre, Antojo, Discusiones, Regalos, Mascotas, Humor;Una discusión entre padres e hijos: una niña que quiere una rana, una madre que no. A partir de una situación cotidiana, este álbum plantea el juego de voces que tiene lugar entre la madre y la hija, mientras que el lector sólo observa. Este libro, cuyas principales características son la sencillez y la economía, le brinda al lector la posibilidad de imaginar y recrear lo que no se dice.\n\nReseña tomada de MakeMake;María Paula Bolaños;Mujer;María Paula Bolaños, que comenzó su profesión escribiendo e ilustrando sus propias historias. Nació en Bogotá, en 1982. Es Maestra en artes visuales de la Pontificia Universidad Javeriana.\nAlgunos de sus libros son Rana (2006), Camila (2006), Buenas noches (2007) y Un mundo a tu medida (2007).;María Paula Bolaños;Mujer;María Paula Bolaños, que comenzó su profesión escribiendo e ilustrando sus propias historias. Nació en Bogotá, en 1982. Es Maestra en artes visuales de la Pontificia Universidad Javeriana.\nAlgunos de sus libros son Rana (2006), Camila (2006), Buenas noches (2007) y Un mundo a tu medida (2007).;Babel libros;Independiente;Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/;Bogotá;María Osorio;Mujer;En 2001, María Osorio, arquitecta de la Universidad de los Andes (Bogotá), fundó Babel Libros, editorial especializada en literatura infantil y juvenil, librería y distribuidora. Osorio fue directora de publicaciones de la Asociación Colombiana para el Libro Infantil y Juvenil (ACLIJ) desde 1986 y subdirectora de Fundalectura entre 1990 y el año 2000. \nReseña tomada de la página del Cerlalc: https://cerlalc.org/author/mosorio/\nOtro enlace: babellibros.com.co/
Emiliano;2008;Vida urbana;Imaginación, Niño, Ciudad, Monstruos;Emiliano es un niño de ciudad: sale con su mamá, va al colegio, mira atento a su alrededor, y hasta puede ver personajes que no son perceptibles para los demás... total, hay que ponerle un poco de imaginación a la ciudad pues no se puede tener un gato, un perro, salir a jugar solo. es poco lo que se puede hacer en una ciudad tan grande como la que habita Emiliano.\n\nReseña tomada de MakeMake;Rafael Yockteng;Hombre;Rafael Yockteng nació en 1976 en Lima, Perú. Estudió Diseño Gráfico en la Universidad Jorge Tadeo Lozano en Bogotá, Colombia, dónde supo que se dedicaría por completo al diseño. desde entonces, ha ilustrado varios libros para niños. En el año 2000 ganó la convocatoria Utopía (IBBY), dirigida a ilustradores latinoamericanos de textos infantiles. Algunos de sus libros han sido merecedores de importantes reconocimientos, como la Lista de Honor de IBBY, Lista White Ravens y los mejores libros del banco del libro de Venezuela.\nReseña tomada de Ekaré.;Jairo Buitrago;Hombre;Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de http://jairo-buitrago.blogspot.com/;Babel libros;Independiente;Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/;Bogotá;María Osorio;Mujer;En 2001, María Osorio, arquitecta de la Universidad de los Andes (Bogotá), fundó Babel Libros, editorial especializada en literatura infantil y juvenil, librería y distribuidora. Osorio fue directora de publicaciones de la Asociación Colombiana para el Libro Infantil y Juvenil (ACLIJ) desde 1986 y subdirectora de Fundalectura entre 1990 y el año 2000. \nReseña tomada de la página del Cerlalc: https://cerlalc.org/author/mosorio/\nOtro enlace: babellibros.com.co/
Eloísa y los bichos;2009;Migración;Niña, Padre, Cambios, Inseguridades, Miedos, Costumbres, Ciudad, Insectos, Soledad, Detalles;Eloísa y su papá llegan a una nueva ciudad, los espacios y las personas son desconocidos para ellos y la incertidumbre ahcer ver el mundo como un lugar inóspito. Sin embargo, en la medida en que Eloísa empieza a reconocer los espacios y personas, va dejando atrás los miedos y el pasado que aunque no se hace explícito se intuye doloroso. ;Rafael Yockteng;Hombre;Rafael Yockteng nació en 1976 en Lima, Perú. Estudió Diseño Gráfico en la Universidad Jorge Tadeo Lozano en Bogotá, Colombia, dónde supo que se dedicaría por completo al diseño. desde entonces, ha ilustrado varios libros para niños. En el año 2000 ganó la convocatoria Utopía (IBBY), dirigida a ilustradores latinoamericanos de textos infantiles. Algunos de sus libros han sido merecedores de importantes reconocimientos, como la Lista de Honor de IBBY, Lista White Ravens y los mejores libros del banco del libro de Venezuela.\nReseña tomada de Ekaré.;Jairo Buitrago;Hombre;Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de http://jairo-buitrago.blogspot.com/;Babel libros;Independiente;Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/;Bogotá;María Osorio;Mujer;En 2001, María Osorio, arquitecta de la Universidad de los Andes (Bogotá), fundó Babel Libros, editorial especializada en literatura infantil y juvenil, librería y distribuidora. Osorio fue directora de publicaciones de la Asociación Colombiana para el Libro Infantil y Juvenil (ACLIJ) desde 1986 y subdirectora de Fundalectura entre 1990 y el año 2000. \nReseña tomada de la página del Cerlalc: https://cerlalc.org/author/mosorio/\nOtro enlace: babellibros.com.co/
Jimmy, el más grande;2010;Inspiración y crecimiento;NIño, Boxeo, Crecimiento, Cambios, Pueblo, Pobreza, Colores planos, Destino, Inspiración, Muhammad Alí, Costa Caribe;Jimmy vive en un pueblo del Pacífico  Colombiano donde no hay mucho que hacer. Pero por fortuna hay un gimnasio de boxeo. Un día, el dueñodel gimnasio le sugiere a Jimmy empezar a entrenar para ser boxeador y le da una caja llena de recortes de revistas y periódicos sobre Muhammad Ali. El joven lee todo el material y se inspira tanto, que cae en la cuenta que puede cumplir sus sueños y hacer un montón de cosas justo donde está. \nMás información: http://yockteng-buitrago.blogspot.com/2011/01/jimmy-el-mas-grande-2010.html;Rafael Yockteng;Hombre;Rafael Yockteng nació en 1976 en Lima, Perú. Estudió Diseño Gráfico en la Universidad Jorge Tadeo Lozano en Bogotá, Colombia, dónde supo que se dedicaría por completo al diseño. desde entonces, ha ilustrado varios libros para niños. En el año 2000 ganó la convocatoria Utopía (IBBY), dirigida a ilustradores latinoamericanos de textos infantiles. Algunos de sus libros han sido merecedores de importantes reconocimientos, como la Lista de Honor de IBBY, Lista White Ravens y los mejores libros del banco del libro de Venezuela.\nReseña tomada de Ekaré.;Jairo Buitrago;Hombre;Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de http://jairo-buitrago.blogspot.com/;Ramdom House Mondadori;Grande;Penguin Random House Grupo Editorial es la división en lengua española del conglomerado editorial internacional Penguin Random House,​ perteneciente a la multinacional Bertelsmann SE & Co. KGaA.Fue fundada el 1 de julio de 2013 como resultado de la fusión de la división editorial de Bertelsmann, Random House, con la del grupo Pearson, Penguin.1​ El grupo empresarial reune editoriales y sellos procedentes de diversos países de habla hispana, como las españolas Plaza & Janés, Alfaguara y Ediciones B, la mexicana Grijalbo y la argentina Editorial Sudamericana.\nTomado de: https://es.wikipedia.org/wiki/Penguin_Random_House_Grupo_Editorial;;;;
El primer día;2010;Reencuentros;Padre, Niño, Guerra, Historia, Colombia, Independencia, Retratos, Crónica, Viaje, Reencuentro, Familia;Narrativa histórica de Colombia en el siglo XIX. Se centra en el retrato de una familia cuyo padre se ha ido a la guerra. Ellos y sus vecinos esperan con ansias el regreso de quienes luchaban, entre ellos el padre del protagonista que por la duración de esta guerra es un extraño.  \nMás información en: http://www.fundacionlafuente.cl/entrevista-a-jairo-buitrago/;Rafael Yockteng;Hombre;Rafael Yockteng nació en 1976 en Lima, Perú. Estudió Diseño Gráfico en la Universidad Jorge Tadeo Lozano en Bogotá, Colombia, dónde supo que se dedicaría por completo al diseño. desde entonces, ha ilustrado varios libros para niños. En el año 2000 ganó la convocatoria Utopía (IBBY), dirigida a ilustradores latinoamericanos de textos infantiles. Algunos de sus libros han sido merecedores de importantes reconocimientos, como la Lista de Honor de IBBY, Lista White Ravens y los mejores libros del banco del libro de Venezuela.\nReseña tomada de Ekaré.;Jairo Buitrago;Hombre;Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de http://jairo-buitrago.blogspot.com/;Alfaguara infanil y juvenil;Grande;;;;;
León y ratón;2017;Amistad;Amistad, Fábula, Paisajes, León, Ratón, Humor, Arrogancia, Lealtad;León y ratón narra la historia de dos personajes dispares, un tranquilo león y un ratón metiche y glotón, que construyen una improbable amistad. Se trata de una moderna versión de la fábula de Esopo y de La Fontaine a la que se le suman el humor de Jairo Buitrago y de Rafael Yockteng. Un álbum inteligente y entrañable que ha ganado lectores de todas las edades. \nTomado de www.cataplumlibros.com\nMás información en: https://soundcloud.com/manuela-fajardo/historias-ilustradas-cataplum;Rafael Yockteng;Hombre;Rafael Yockteng nació en 1976 en Lima, Perú. Estudió Diseño Gráfico en la Universidad Jorge Tadeo Lozano en Bogotá, Colombia, dónde supo que se dedicaría por completo al diseño. desde entonces, ha ilustrado varios libros para niños. En el año 2000 ganó la convocatoria Utopía (IBBY), dirigida a ilustradores latinoamericanos de textos infantiles. Algunos de sus libros han sido merecedores de importantes reconocimientos, como la Lista de Honor de IBBY, Lista White Ravens y los mejores libros del banco del libro de Venezuela.\nReseña tomada de Ekaré.;Jairo Buitrago;Hombre;Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de http://jairo-buitrago.blogspot.com/;Cataplúm;Independiente;Los buenos libros son como mansos animales que se desperezan cuando les acariciamos el lomo y nos muestran su panza para invitarnos al juego, mas no dudan en darnos un buen mordisco para hacernos salir de las garras de la cotidianidad. \n\nPara crear estas nobles criaturas, en Cataplum escarbamos como los topos en la memoria colectiva y exploramos en las raíces que nos conectan como latinoamericanos y recuperar así la tradición oral, el juego y sus diversas e inagotables posibilidades. Como los cerdos buscadores de trufas, desarrollamos un fino olfato para conseguir textos de autores de ayer y de hoy. Como los conejos saltamos de aquí para allá, rastreando ilustradores con novedosas propuestas y, como las águilas, hacemos el esfuerzo de ver desde la distancia cómo pueden convivir texto e imagen armoniosamente. \n\nNuestro catálogo, entonces, está concebido como una criatura viva, que empezó pequeñita como las crías de oso, pero con el potencial para alcanzar un gran tamaño y transformarse en una criatura fabulosa, de esas que combinan las mejores cualidades de nobles animales y tienen el poder de encantar. \nTomado de la página web de la editorial.;;María Fernanda Pasz-Castillo;;
Chigüiro chistoso;2005;Graciosas casualidades;Chigüiro, Amistad, Sin palabras, Juego, Primeros lectores, Humor, Nuevos amigos, Espacios en blanco;Chigüiro sigue a una mariposa y, en su regreso a casa, se encuentra con sus amigos que se ríen tan pronto lo ven. Cuando descubre la razón de las risas, Chigüiro no puede evitar reír también. Tomado de MakeMake.\nEste libro hace partede la colección Chigüiro, la primera especializada en libros álbum. En esta colección no hay palabras pero el personaje principal ha sido construído para comunicar gracias a su movimiento y a su expresividad. Chigüiro marca el inicio de la creación de libro álbum en Colombia, su primer título fue publicado en 1986.;Ivar Da Coll;Hombre;Ivar da Coll es uno de los exponentes más importantes del libro álbum en Colombia. Su serie Chigüiro dio inicio a la producción de este formato en nuestro país. Este autor, nacido en Bogotá en 1962, es además un escritor prolífico que a lo largo de su carrera ha realizado más de 40 títulos. Ivar da Coll nació en Bogotá, Colombia, el 13 de marzo de 1962. Su padre era italiano y su madre de ascendencia sueca. Estudió en el colegio Juan Ramón Jiménez de Bogotá.\nEn 1999, fue nominado al Premio Hans Christian Andersen en la categoría de ilustración también hizo parte de la Lista de Honor de IBBY (International Board on Books for Young People).\nHa publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). ;Ivar Da Coll;Hombre;Ivar da Coll es uno de los exponentes más importantes del libro álbum en Colombia. Su serie Chigüiro dio inicio a la producción de este formato en nuestro país. Este autor, nacido en Bogotá en 1962, es además un escritor prolífico que a lo largo de su carrera ha realizado más de 40 títulos. Ivar da Coll nació en Bogotá, Colombia, el 13 de marzo de 1962. Su padre era italiano y su madre de ascendencia sueca. Estudió en el colegio Juan Ramón Jiménez de Bogotá.\nEn 1999, fue nominado al Premio Hans Christian Andersen en la categoría de ilustración también hizo parte de la Lista de Honor de IBBY (International Board on Books for Young People).\nHa publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). ;Babel libros;Independiente;Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/;;;;
Chigüiro y el lápiz;2005;Creatividad;Chigüiro, Creatividad, Arte, Sin palabras, Juego, Primeros lectores, Espacios en blanco;Chigüiro encuentra un lápiz y adquiere el poder de crear objetos. Con su lápiz y su imaginación logra tener un día divertido. \nTomado de MakeMake.\nEste libro hace partede la colección Chigüiro, la primera especializada en libros álbum. En esta colección no hay palabras pero el personaje principal ha sido construído para comunicar gracias a su movimiento y a su expresividad. Chigüiro marca el inicio de la creación de libro álbum en Colombia, su primer título fue publicado en 1986.;Ivar Da Coll;Hombre;Ivar da Coll es uno de los exponentes más importantes del libro álbum en Colombia. Su serie Chigüiro dio inicio a la producción de este formato en nuestro país. Este autor, nacido en Bogotá en 1962, es además un escritor prolífico que a lo largo de su carrera ha realizado más de 40 títulos. Ivar da Coll nació en Bogotá, Colombia, el 13 de marzo de 1962. Su padre era italiano y su madre de ascendencia sueca. Estudió en el colegio Juan Ramón Jiménez de Bogotá.\nEn 1999, fue nominado al Premio Hans Christian Andersen en la categoría de ilustración también hizo parte de la Lista de Honor de IBBY (International Board on Books for Young People).\nHa publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). ;Ivar Da Coll;Hombre;Ivar da Coll es uno de los exponentes más importantes del libro álbum en Colombia. Su serie Chigüiro dio inicio a la producción de este formato en nuestro país. Este autor, nacido en Bogotá en 1962, es además un escritor prolífico que a lo largo de su carrera ha realizado más de 40 títulos. Ivar da Coll nació en Bogotá, Colombia, el 13 de marzo de 1962. Su padre era italiano y su madre de ascendencia sueca. Estudió en el colegio Juan Ramón Jiménez de Bogotá.\nEn 1999, fue nominado al Premio Hans Christian Andersen en la categoría de ilustración también hizo parte de la Lista de Honor de IBBY (International Board on Books for Young People).\nHa publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). ;Babel libros;Independiente;Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/;;;;
Chigüiro y el baño;2005;Hábitos;Baño, Chigüiro. Limpieza, Hábitos, Sin palabras, Juego, Primeros lectores, Espacios en blanco;Un cuento sin palabras sobre un chigüiro que está entretenido jugando solo con una pelota. De repente la pelota cae a un charco y le salpica de barro. Se entristece al verse sucio y decide bañarse y limpiar su pelota. El protagonista de la historia convierte así el acto de tomar un baño en una aventura divertida y el lector podrá sentirse identificado con Chigüiro y sus ocurrencias.\nTomado de https://ekidesign.com/de-2-a-5-anos/352-chiguiro-y-el-bano.html\nEste libro hace parte de la colección Chigüiro, la primera especializada en libros álbum. En esta colección no hay palabras pero el personaje principal ha sido construído para comunicar gracias a su movimiento y a su expresividad. Chigüiro marca el inicio de la creación de libro álbum en Colombia, su primer título fue publicado en 1986.;Ivar Da Coll;Hombre;Ivar da Coll es uno de los exponentes más importantes del libro álbum en Colombia. Su serie Chigüiro dio inicio a la producción de este formato en nuestro país. Este autor, nacido en Bogotá en 1962, es además un escritor prolífico que a lo largo de su carrera ha realizado más de 40 títulos. Ivar da Coll nació en Bogotá, Colombia, el 13 de marzo de 1962. Su padre era italiano y su madre de ascendencia sueca. Estudió en el colegio Juan Ramón Jiménez de Bogotá.\nEn 1999, fue nominado al Premio Hans Christian Andersen en la categoría de ilustración también hizo parte de la Lista de Honor de IBBY (International Board on Books for Young People).\nHa publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). ;Ivar Da Coll;Hombre;Ivar da Coll es uno de los exponentes más importantes del libro álbum en Colombia. Su serie Chigüiro dio inicio a la producción de este formato en nuestro país. Este autor, nacido en Bogotá en 1962, es además un escritor prolífico que a lo largo de su carrera ha realizado más de 40 títulos. Ivar da Coll nació en Bogotá, Colombia, el 13 de marzo de 1962. Su padre era italiano y su madre de ascendencia sueca. Estudió en el colegio Juan Ramón Jiménez de Bogotá.\nEn 1999, fue nominado al Premio Hans Christian Andersen en la categoría de ilustración también hizo parte de la Lista de Honor de IBBY (International Board on Books for Young People).\nHa publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). ;Babel libros;Independiente;Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/;;;;
